DEBUG - 2021-07-31 19:41:36,426 - findfont: score(<Font '.SF Compact Rounded' (SFCompactRounded-Bold.otf) normal normal 700 normal>) = 10.335
DEBUG - 2021-07-31 19:41:36,426 - findfont: score(<Font '.SF Compact Rounded' (SFCompactRounded-Semibold.otf) normal normal 600 normal>) = 10.24
DEBUG - 2021-07-31 19:41:36,426 - findfont: score(<Font 'Ethiopic Yigezu Bisrat Goffer' (goffer.ttf) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,426 - findfont: score(<Font 'Big Caslon' (BigCaslon.ttf) normal normal 500 normal>) = 10.145
DEBUG - 2021-07-31 19:41:36,426 - findfont: score(<Font 'Ethiopia Jiret Slant' (jiretsl.ttf) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,427 - findfont: score(<Font 'Verdana' (Verdana.ttf) normal normal 400 normal>) = 3.6863636363636365
DEBUG - 2021-07-31 19:41:36,427 - findfont: score(<Font 'SignPainter' (SignPainter.ttc) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,427 - findfont: score(<Font '.SF Compact Text' (SFCompactText-Semibold.otf) normal normal 600 normal>) = 10.24
DEBUG - 2021-07-31 19:41:36,427 - findfont: score(<Font 'Apple Braille' (Apple Braille Pinpoint 6 Dot.ttf) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,427 - findfont: score(<Font 'Arial Rounded MT Bold' (Arial Rounded Bold.ttf) normal normal 400 normal>) = 10.05
